Date,Description,Amount,Category
03/01/2026,ADOBE INC SUBSCRIPTION,-54.99,Software
03/02/2026,UBER TRIP 4XG9K,-23.45,Travel
03/03/2026,AMZN MKTP US*2F3K9,-142.30,Shopping
03/04/2026,WEGMANS FOOD MARKET,-87.20,Food & Drink
03/05/2026,ZOOM.US,-14.99,Software
03/06/2026,WEWORK 110 WALL ST,-450.00,Office
03/07/2026,CLIENT INVOICE PAYMENT,3500.00,Income
03/08/2026,DELTA AIRLINES TICKET,-320.00,Travel
03/09/2026,NOTION SO,-16.00,Software
03/10/2026,STAPLES STORE #1234,-68.50,Office Supplies
03/11/2026,NETFLIX.COM,-22.99,Entertainment
03/12/2026,GITHUB INC,-21.00,Software
03/13/2026,MCDONALDS #4821,-12.40,Food & Drink
03/14/2026,LINKEDIN PREMIUM,-39.99,Professional Dev
03/15/2026,AWS AMAZON WEB SVCS,-94.32,Software
03/16/2026,HERTZ CAR RENTAL,-189.00,Travel
03/17/2026,STARBUCKS #00812,-7.85,Food & Drink
03/18/2026,COURSERA MONTHLY,-49.00,Education
03/19/2026,DROPBOX PLUS,-11.99,Software
03/20/2026,AMERICAN AIRLINES,-455.00,Travel
